host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgdbc705818362a17b3,2,'2025-06-25 09:57:18.130',142,178,99,290,106,157,'2025-06-25 09:57:19.119',989,'2025-06-25 09:57:19.158',1028,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,3,'2025-06-25 09:57:18.228',129,177,99,365,116,166,'2025-06-25 09:57:19.119',891,'2025-06-25 09:57:19.158',930,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,1,'2025-06-25 09:56:57.364',140,168,99,459,130,180,'2025-06-25 09:56:58.500',1136,'2025-06-25 09:56:58.520',1156,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,2,'2025-06-25 09:56:57.463',147,153,100,397,115,165,'2025-06-25 09:56:58.520',1057,'2025-06-25 09:56:58.560',1097,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,3,'2025-06-25 09:56:57.562',128,157,99,448,126,176,'2025-06-25 09:56:58.520',958,'2025-06-25 09:56:58.560',998,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,1,'2025-06-25 09:57:00.937',158,141,99,396,131,181,'2025-06-25 09:57:02.056',1119,'2025-06-25 09:57:02.096',1159,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,2,'2025-06-25 09:57:01.037',140,142,99,376,149,199,'2025-06-25 09:57:02.096',1059,'2025-06-25 09:57:02.136',1099,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,3,'2025-06-25 09:57:01.136',130,141,99,430,115,165,'2025-06-25 09:57:02.036',900,'2025-06-25 09:57:02.056',920,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,1,'2025-06-25 09:57:14.630',148,147,99,448,137,187,'2025-06-25 09:57:15.772',1142,'2025-06-25 09:57:15.812',1182,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,2,'2025-06-25 09:57:14.730',133,155,99,363,120,171,'2025-06-25 09:57:15.751',1021,'2025-06-25 09:57:15.772',1042,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,3,'2025-06-25 09:57:14.826',156,150,100,416,119,170,'2025-06-25 09:57:15.772',946,'2025-06-25 09:57:15.812',986,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,1,'2025-06-25 09:56:57.660',142,177,99,481,136,186,'2025-06-25 09:56:58.853',1193,'2025-06-25 09:56:58.893',1233,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,2,'2025-06-25 09:56:57.759',164,150,99,409,111,161,'2025-06-25 09:56:58.853',1094,'2025-06-25 09:56:58.893',1134,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,3,'2025-06-25 09:56:57.858',149,165,99,451,127,177,'2025-06-25 09:56:58.833',975,'2025-06-25 09:56:58.853',995,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,1,'2025-06-25 09:56:54.103',148,163,99,457,133,184,'2025-06-25 09:56:55.260',1157,'2025-06-25 09:56:55.300',1197,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,2,'2025-06-25 09:56:54.201',127,172,100,404,119,170,'2025-06-25 09:56:55.260',1059,'2025-06-25 09:56:55.300',1099,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,3,'2025-06-25 09:56:54.299',150,158,99,435,115,166,'2025-06-25 09:56:55.240',941,'2025-06-25 09:56:55.260',961,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,1,'2025-06-25 09:57:09.764',141,152,99,537,133,183,'2025-06-25 09:57:10.969',1205,'2025-06-25 09:57:11.009',1245,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,2,'2025-06-25 09:57:09.863',133,158,99,478,144,195,'2025-06-25 09:57:11.009',1146,'2025-06-25 09:57:11.049',1186,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,3,'2025-06-25 09:57:09.965',145,162,99,490,103,153,'2025-06-25 09:57:10.949',984,'2025-06-25 09:57:10.969',1004,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,1,'2025-06-25 09:56:55.575',155,162,99,480,122,172,'2025-06-25 09:56:56.766',1191,'2025-06-25 09:56:56.786',1211,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,2,'2025-06-25 09:56:55.674',147,139,99,462,109,159,'2025-06-25 09:56:56.786',1112,'2025-06-25 09:56:56.826',1152,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,3,'2025-06-25 09:56:55.772',130,140,99,523,128,178,'2025-06-25 09:56:56.786',1014,'2025-06-25 09:56:56.826',1054,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,1,'2025-06-25 09:56:59.748',153,168,99,467,110,161,'2025-06-25 09:57:00.899',1151,'2025-06-25 09:57:00.939',1191,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,2,'2025-06-25 09:56:59.847',145,159,99,396,146,196,'2025-06-25 09:57:00.939',1092,'2025-06-25 09:57:00.979',1132,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,3,'2025-06-25 09:56:59.945',139,139,99,451,122,172,'2025-06-25 09:57:00.879',934,'2025-06-25 09:57:00.899',954,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,1,'2025-06-25 09:56:56.184',143,168,99,493,116,166,'2025-06-25 09:56:57.337',1153,'2025-06-25 09:56:57.357',1173,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,2,'2025-06-25 09:56:56.282',149,159,99,416,112,162,'2025-06-25 09:56:57.377',1095,'2025-06-25 09:56:57.397',1115,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,3,'2025-06-25 09:56:56.380',148,161,99,475,116,166,'2025-06-25 09:56:57.377',997,'2025-06-25 09:56:57.397',1017,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,1,'2025-06-25 09:56:55.282',157,154,99,462,134,185,'2025-06-25 09:56:56.414',1132,'2025-06-25 09:56:56.454',1172,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,2,'2025-06-25 09:56:55.379',134,188,99,339,114,164,'2025-06-25 09:56:56.414',1035,'2025-06-25 09:56:56.454',1075,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,3,'2025-06-25 09:56:55.478',140,147,99,438,107,157,'2025-06-25 09:56:56.394',916,'2025-06-25 09:56:56.414',936,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,1,'2025-06-25 09:56:57.070',136,173,99,490,114,164,'2025-06-25 09:56:58.205',1135,'2025-06-25 09:56:58.225',1155,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,2,'2025-06-25 09:56:57.167',148,144,99,412,110,160,'2025-06-25 09:56:58.225',1058,'2025-06-25 09:56:58.265',1098,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,3,'2025-06-25 09:56:57.266',134,145,99,464,123,173,'2025-06-25 09:56:58.225',959,'2025-06-25 09:56:58.265',999,yes,yes,yes
52.83.211.74,lzgde792c58984114268,1,'2025-06-25 09:56:53.808',132,193,99,495,108,158,'2025-06-25 09:56:54.980',1172,'2025-06-25 09:56:55.000',1192,yes,yes,yes
