host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgde41cd2c8347571fc,2,'2025-06-25 11:37:30.345',155,195,99,419,128,179,'2025-06-25 11:37:31.338',993,'2025-06-25 11:37:31.385',1040,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,3,'2025-06-25 11:37:30.443',158,179,99,350,114,165,'2025-06-25 11:37:31.338',895,'2025-06-25 11:37:31.385',942,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,4,'2025-06-25 11:37:30.542',138,150,99,319,145,195,'2025-06-25 11:37:31.399',857,'2025-06-25 11:37:31.425',883,yes,yes,yes
52.83.211.74,lzgde792c58984114268,1,'2025-06-25 11:37:25.959',155,184,99,549,131,182,'2025-06-25 11:37:27.071',1112,'2025-06-25 11:37:27.120',1161,yes,yes,yes
52.83.211.74,lzgde792c58984114268,2,'2025-06-25 11:37:26.057',130,179,99,533,128,179,'2025-06-25 11:37:27.111',1054,'2025-06-25 11:37:27.160',1103,yes,yes,yes
52.83.211.74,lzgde792c58984114268,3,'2025-06-25 11:37:26.155',154,177,99,421,121,172,'2025-06-25 11:37:27.111',956,'2025-06-25 11:37:27.160',1005,yes,yes,yes
52.83.211.74,lzgde792c58984114268,4,'2025-06-25 11:37:26.253',158,160,99,327,134,184,'2025-06-25 11:37:27.131',878,'2025-06-25 11:37:27.160',907,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,1,'2025-06-25 11:37:45.140',153,161,100,513,137,187,'2025-06-25 11:37:46.372',1232,'2025-06-25 11:37:46.410',1270,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,2,'2025-06-25 11:37:45.239',157,151,99,433,120,171,'2025-06-25 11:37:46.372',1133,'2025-06-25 11:37:46.410',1171,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,3,'2025-06-25 11:37:45.343',147,151,100,491,132,183,'2025-06-25 11:37:46.352',1009,'2025-06-25 11:37:46.410',1067,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,4,'2025-06-25 11:37:45.437',156,155,99,401,121,171,'2025-06-25 11:37:46.372',935,'2025-06-25 11:37:46.410',973,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,1,'2025-06-25 11:37:42.744',137,178,99,402,115,166,'2025-06-25 11:37:43.815',1071,'2025-06-25 11:37:43.855',1111,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,2,'2025-06-25 11:37:42.844',144,187,99,313,150,200,'2025-06-25 11:37:43.876',1032,'2025-06-25 11:37:43.895',1051,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,3,'2025-06-25 11:37:42.950',136,180,99,341,122,173,'2025-06-25 11:37:43.835',885,'2025-06-25 11:37:43.855',905,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,4,'2025-06-25 11:37:43.047',133,146,99,308,102,152,'2025-06-25 11:37:43.835',788,'2025-06-25 11:37:43.855',808,yes,yes,yes
52.83.211.74,lzgdfa35671c595cd064,1,'2025-06-25 11:37:48.723',133,142,99,484,128,179,'2025-06-25 11:37:49.862',1139,'2025-06-25 11:37:49.908',1185,yes,no,yes
52.83.211.74,lzgdfa35671c595cd064,2,'2025-06-25 11:37:48.847',158,160,99,343,119,170,'2025-06-25 11:37:49.883',1036,'2025-06-25 11:37:49.908',1061,yes,no,yes
52.83.211.74,lzgdfa35671c595cd064,3,'2025-06-25 11:37:48.923',139,156,99,430,124,175,'2025-06-25 11:37:49.863',940,'2025-06-25 11:37:49.908',985,yes,yes,no
52.83.211.74,lzgdfa35671c595cd064,4,'2025-06-25 11:37:49.019',132,146,99,359,116,166,'2025-06-25 11:37:49.863',844,'2025-06-25 11:37:49.908',889,yes,no,no
