host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd60622774ad88ca9c,1,'2025-06-26 03:09:32.795',132,172,99,562,105,155,'2025-06-26 03:09:34.011',1216,'2025-06-26 03:09:34.051',1256,yes,yes,yes
52.83.211.74,lzgd60622774ad88ca9c,2,'2025-06-26 03:09:32.893',130,148,99,463,107,158,'2025-06-26 03:09:34.011',1118,'2025-06-26 03:09:34.051',1158,yes,yes,yes
52.83.211.74,lzgd60622774ad88ca9c,3,'2025-06-26 03:09:32.991',153,173,99,482,110,161,'2025-06-26 03:09:33.991',1000,'2025-06-26 03:09:34.011',1020,yes,yes,yes
52.83.211.74,lzgd6103cf739e1a84f6,1,'2025-06-26 03:09:43.252',140,187,99,474,105,157,'2025-06-26 03:09:44.404',1152,'2025-06-26 03:09:44.444',1192,yes,yes,yes
52.83.211.74,lzgd6103cf739e1a84f6,2,'2025-06-26 03:09:43.352',166,163,99,338,110,160,'2025-06-26 03:09:44.404',1052,'2025-06-26 03:09:44.444',1092,yes,yes,yes
52.83.211.74,lzgd6103cf739e1a84f6,3,'2025-06-26 03:09:43.454',167,146,100,403,111,178,'2025-06-26 03:09:44.384',930,'2025-06-26 03:09:44.405',951,yes,yes,yes
52.83.211.74,lzgd64a35bc2d758e316,1,'2025-06-26 03:09:54.986',216,148,99,454,120,170,'2025-06-26 03:09:56.179',1193,'2025-06-26 03:09:56.199',1213,yes,yes,yes
52.83.211.74,lzgd64a35bc2d758e316,2,'2025-06-26 03:09:55.084',160,154,99,385,118,168,'2025-06-26 03:09:56.199',1115,'2025-06-26 03:09:56.239',1155,yes,yes,yes
52.83.211.74,lzgd64a35bc2d758e316,3,'2025-06-26 03:09:55.256',145,163,99,393,133,183,'2025-06-26 03:09:56.200',944,'2025-06-26 03:09:56.238',982,yes,yes,yes
52.83.211.74,lzgd666b11a37776534d,1,'2025-06-26 03:09:41.414',148,156,99,424,121,171,'2025-06-26 03:09:42.494',1080,'2025-06-26 03:09:42.514',1100,yes,yes,yes
52.83.211.74,lzgd666b11a37776534d,2,'2025-06-26 03:09:41.518',149,162,99,304,121,171,'2025-06-26 03:09:42.514',996,'2025-06-26 03:09:42.555',1037,yes,yes,yes
52.83.211.74,lzgd666b11a37776534d,3,'2025-06-26 03:09:41.615',169,157,99,346,127,177,'2025-06-26 03:09:42.513',898,'2025-06-26 03:09:42.555',940,yes,yes,yes
52.83.211.74,lzgd68b8965d1bae607f,1,'2025-06-26 03:09:39.339',134,160,100,476,127,177,'2025-06-26 03:09:40.459',1120,'2025-06-26 03:09:40.479',1140,yes,yes,yes
52.83.211.74,lzgd68b8965d1bae607f,2,'2025-06-26 03:09:39.436',151,146,99,365,115,165,'2025-06-26 03:09:40.479',1043,'2025-06-26 03:09:40.519',1083,yes,yes,yes
52.83.211.74,lzgd68b8965d1bae607f,3,'2025-06-26 03:09:39.535',146,165,99,413,122,173,'2025-06-26 03:09:40.479',944,'2025-06-26 03:09:40.519',984,yes,yes,yes
52.83.211.74,lzgd69c9cd5e2fd9057a,1,'2025-06-26 03:09:50.024',167,151,99,514,106,156,'2025-06-26 03:09:51.211',1187,'2025-06-26 03:09:51.231',1207,yes,yes,yes
52.83.211.74,lzgd69c9cd5e2fd9057a,2,'2025-06-26 03:09:50.121',138,160,99,472,118,168,'2025-06-26 03:09:51.251',1130,'2025-06-26 03:09:51.271',1150,yes,yes,yes
52.83.211.74,lzgd69c9cd5e2fd9057a,3,'2025-06-26 03:09:50.219',146,146,99,497,138,189,'2025-06-26 03:09:51.251',1032,'2025-06-26 03:09:51.271',1052,yes,yes,yes
52.83.211.74,lzgd70083471b86c55fd,1,'2025-06-26 03:09:51.222',133,165,99,490,133,184,'2025-06-26 03:09:52.385',1163,'2025-06-26 03:09:52.406',1184,yes,yes,yes
52.83.211.74,lzgd70083471b86c55fd,2,'2025-06-26 03:09:51.323',140,150,99,413,109,160,'2025-06-26 03:09:52.406',1083,'2025-06-26 03:09:52.445',1122,yes,yes,yes
52.83.211.74,lzgd70083471b86c55fd,3,'2025-06-26 03:09:51.416',165,167,99,418,136,187,'2025-06-26 03:09:52.406',990,'2025-06-26 03:09:52.445',1029,yes,yes,yes
52.83.211.74,lzgd707f581064374ffe,1,'2025-06-26 03:10:00.841',159,168,100,487,126,179,'2025-06-26 03:10:02.083',1242,'2025-06-26 03:10:02.120',1279,yes,yes,yes
52.83.211.74,lzgd707f581064374ffe,2,'2025-06-26 03:10:00.940',155,165,99,431,116,162,'2025-06-26 03:10:02.064',1124,'2025-06-26 03:10:02.080',1140,yes,yes,no
52.83.211.74,lzgd707f581064374ffe,3,'2025-06-26 03:10:01.032',153,175,126,332,113,164,'2025-06-26 03:10:02.080',1048,'2025-06-26 03:10:02.120',1088,yes,yes,no
52.83.211.74,lzgd729942220e6167a8,1,'2025-06-26 03:09:41.120',148,156,100,441,130,180,'2025-06-26 03:09:42.236',1116,'2025-06-26 03:09:42.257',1137,yes,yes,yes
52.83.211.74,lzgd729942220e6167a8,2,'2025-06-26 03:09:41.218',144,153,99,372,150,200,'2025-06-26 03:09:42.318',1100,'2025-06-26 03:09:42.337',1119,yes,yes,yes
52.83.211.74,lzgd729942220e6167a8,3,'2025-06-26 03:09:41.314',143,167,99,411,127,177,'2025-06-26 03:09:42.257',943,'2025-06-26 03:09:42.297',983,yes,yes,yes
52.83.211.74,lzgd73d598667c010462,1,'2025-06-26 03:09:33.089',150,169,99,439,113,163,'2025-06-26 03:09:34.182',1093,'2025-06-26 03:09:34.203',1114,yes,yes,yes
52.83.211.74,lzgd73d598667c010462,2,'2025-06-26 03:09:33.188',171,172,99,324,150,201,'2025-06-26 03:09:34.243',1055,'2025-06-26 03:09:34.283',1095,yes,yes,yes
52.83.211.74,lzgd73d598667c010462,3,'2025-06-26 03:09:33.287',143,175,99,384,118,169,'2025-06-26 03:09:34.202',915,'2025-06-26 03:09:34.243',956,yes,yes,yes
52.83.211.74,lzgd75a44bf008790b23,1,'2025-06-26 03:09:51.821',166,166,100,501,104,157,'2025-06-26 03:09:52.996',1175,'2025-06-26 03:09:53.017',1196,yes,yes,yes
52.83.211.74,lzgd75a44bf008790b23,2,'2025-06-26 03:09:51.923',145,176,99,374,120,170,'2025-06-26 03:09:53.017',1094,'2025-06-26 03:09:53.057',1134,yes,yes,yes
52.83.211.74,lzgd75a44bf008790b23,3,'2025-06-26 03:09:52.043',150,156,100,426,118,169,'2025-06-26 03:09:53.016',973,'2025-06-26 03:09:53.057',1014,yes,yes,yes
52.83.211.74,lzgd7ac8e7f6125ec5df,1,'2025-06-26 03:09:50.623',143,147,99,395,133,183,'2025-06-26 03:09:51.688',1065,'2025-06-26 03:09:51.708',1085,yes,yes,yes
52.83.211.74,lzgd7ac8e7f6125ec5df,2,'2025-06-26 03:09:50.724',131,168,99,311,110,160,'2025-06-26 03:09:51.708',984,'2025-06-26 03:09:51.748',1024,yes,yes,yes
52.83.211.74,lzgd7ac8e7f6125ec5df,3,'2025-06-26 03:09:50.819',151,159,99,346,132,182,'2025-06-26 03:09:51.708',889,'2025-06-26 03:09:51.748',929,yes,yes,yes
52.83.211.74,lzgd7b52c901742b016c,1,'2025-06-26 03:09:44.442',147,162,99,490,125,175,'2025-06-26 03:09:45.602',1160,'2025-06-26 03:09:45.622',1180,yes,yes,yes
52.83.211.74,lzgd7b52c901742b016c,2,'2025-06-26 03:09:44.543',136,162,99,411,112,162,'2025-06-26 03:09:45.622',1079,'2025-06-26 03:09:45.662',1119,yes,yes,yes
52.83.211.74,lzgd7b52c901742b016c,3,'2025-06-26 03:09:44.641',157,145,100,443,137,188,'2025-06-26 03:09:45.622',981,'2025-06-26 03:09:45.662',1021,yes,yes,yes
52.83.211.74,lzgd7b9e1d54687b616a,1,'2025-06-26 03:09:29.543',136,263,99,534,124,174,'2025-06-26 03:09:30.830',1287,'2025-06-26 03:09:30.870',1327,yes,yes,yes
52.83.211.74,lzgd7b9e1d54687b616a,2,'2025-06-26 03:09:29.642',151,143,99,538,142,192,'2025-06-26 03:09:30.870',1228,'2025-06-26 03:09:30.910',1268,yes,yes,yes
52.83.211.74,lzgd7b9e1d54687b616a,3,'2025-06-26 03:09:29.740',163,138,99,562,126,177,'2025-06-26 03:09:30.810',1070,'2025-06-26 03:09:30.830',1090,yes,yes,yes
52.83.211.74,lzgd7e364ee2c3f42271,1,'2025-06-26 03:09:54.090',146,149,99,527,152,203,'2025-06-26 03:09:55.324',1234,'2025-06-26 03:09:55.364',1274,yes,yes,yes
52.83.211.74,lzgd7e364ee2c3f42271,2,'2025-06-26 03:09:54.183',152,171,99,457,146,197,'2025-06-26 03:09:55.365',1182,'2025-06-26 03:09:55.404',1221,yes,yes,yes
52.83.211.74,lzgd7e364ee2c3f42271,3,'2025-06-26 03:09:54.286',146,155,99,513,112,163,'2025-06-26 03:09:55.304',1018,'2025-06-26 03:09:55.324',1038,yes,yes,yes
52.83.211.74,lzgd7e4aad2ded1b3ccb,1,'2025-06-26 03:09:59.905',172,163,99,476,148,199,'2025-06-26 03:10:01.149',1244,'2025-06-26 03:10:01.188',1283,yes,no,yes
52.83.211.74,lzgd7e4aad2ded1b3ccb,2,'2025-06-26 03:10:00.114',140,159,100,462,120,171,'2025-06-26 03:10:01.094',980,'2025-06-26 03:10:01.110',996,yes,no,yes
52.83.211.74,lzgd7e4aad2ded1b3ccb,3,'2025-06-26 03:10:00.136',141,146,99,458,125,175,'2025-06-26 03:10:01.109',973,'2025-06-26 03:10:01.148',1012,yes,no,yes
52.83.211.74,lzgd8024d47195731465,1,'2025-06-26 03:09:46.900',147,164,99,436,125,176,'2025-06-26 03:09:48.008',1108,'2025-06-26 03:09:48.028',1128,yes,yes,yes
52.83.211.74,lzgd8024d47195731465,2,'2025-06-26 03:09:47.000',149,164,99,371,150,201,'2025-06-26 03:09:48.068',1068,'2025-06-26 03:09:48.108',1108,yes,yes,yes
52.83.211.74,lzgd8024d47195731465,3,'2025-06-26 03:09:47.099',153,154,100,405,123,173,'2025-06-26 03:09:48.028',929,'2025-06-26 03:09:48.068',969,yes,yes,yes
52.83.211.74,lzgd802739c51eb0d598,1,'2025-06-26 03:09:55.305',139,181,100,469,122,173,'2025-06-26 03:09:56.453',1148,'2025-06-26 03:09:56.474',1169,yes,no,yes
52.83.211.74,lzgd802739c51eb0d598,2,'2025-06-26 03:09:55.400',142,143,100,398,126,177,'2025-06-26 03:09:56.474',1074,'2025-06-26 03:09:56.514',1114,yes,yes,yes
52.83.211.74,lzgd802739c51eb0d598,3,'2025-06-26 03:09:55.502',150,166,100,430,123,174,'2025-06-26 03:09:56.474',972,'2025-06-26 03:09:56.514',1012,yes,yes,yes
52.83.211.74,lzgd825c122f8151428c,1,'2025-06-26 03:09:38.130',170,163,100,411,110,160,'2025-06-26 03:09:39.217',1087,'2025-06-26 03:09:39.237',1107,yes,yes,yes
52.83.211.74,lzgd825c122f8151428c,2,'2025-06-26 03:09:38.228',158,154,100,331,112,162,'2025-06-26 03:09:39.237',1009,'2025-06-26 03:09:39.277',1049,yes,yes,yes
52.83.211.74,lzgd825c122f8151428c,3,'2025-06-26 03:09:38.327',163,165,99,354,134,185,'2025-06-26 03:09:39.237',910,'2025-06-26 03:09:39.277',950,yes,yes,yes
52.83.211.74,lzgd825d052613183654,1,'2025-06-26 03:09:47.797',144,163,100,496,144,195,'2025-06-26 03:09:49.001',1204,'2025-06-26 03:09:49.041',1244,yes,no,yes
52.83.211.74,lzgd825d052613183654,2,'2025-06-26 03:09:47.896',153,172,100,447,139,190,'2025-06-26 03:09:49.041',1145,'2025-06-26 03:09:49.081',1185,yes,no,yes
52.83.211.74,lzgd825d052613183654,3,'2025-06-26 03:09:47.994',142,164,99,468,123,174,'2025-06-26 03:09:48.981',987,'2025-06-26 03:09:49.001',1007,yes,yes,yes
